"","LC","AU","MC","B","PF","C","SD","ARN","HP","CH","TC","D","LW","ARS","WW"
"LC",0,5.04988668956706,8.44398278747404,17.7602380811918,20.1016320956522,29.9928596214857,13.7820674909358,20.8037187877513,9.52172026311494,36.6367712456711,42.2401966054665,42.4064016452307,11.6697186665856,20.1292304898798,31.3719571468179
"AU",5.04988668956706,0,13.301917928632,19.0702452977945,23.7623443295874,33.9340440706413,15.1669599140757,22.2224702151365,9.41692903287817,37.9697469254078,43.8157295887031,43.8935735590812,8.76390918861418,21.3979695786276,27.3545907525107
"MC",8.44398278747404,13.301917928632,0,15.786915162221,13.2837190143448,22.3605255311105,17.818276631118,23.8051248022321,16.0579213377617,38.7906486486555,43.7982871870254,44.111139238413,19.6879827640175,23.4306770844641,39.6062950238397
"B",17.7602380811918,19.0702452977945,15.786915162221,0,11.4235998418392,20.2999650926788,31.3334149387802,38.1418155323266,27.1999733514485,53.7541439926378,59.0630293681575,59.3151158831302,27.8341543508033,37.5678703525391,45.17471309883
"PF",20.1016320956522,23.7623443295874,13.2837190143448,11.4235998418392,0,10.2957602656431,31.0928453738511,36.853182247921,29.0068737834645,51.2634413795347,55.8717626869479,56.2635280396193,31.7499702382938,36.5514211580655,51.1140281179718
"C",29.9928596214857,33.9340440706413,22.3605255311105,20.2999650926788,10.2957602656431,0,39.6337863651675,44.626282497303,38.4164108992389,57.825450520549,61.8145219182541,62.3011857285937,41.6557426879048,44.484443771753,61.2431492575714
"SD",13.7820674909358,15.1669599140757,17.818276631118,31.3334149387802,31.0928453738511,39.6337863651675,0,7.10726889688888,6.19250052661122,22.956608818863,28.7054051989391,28.8163410109969,11.3339550722229,6.36566045900716,27.6230267335511
"ARN",20.8037187877513,22.2224702151365,23.8051248022321,38.1418155323266,36.853182247921,44.626282497303,7.10726889688888,0,12.9782512961451,15.8565016193383,21.6054828346184,21.7097379614501,17.2074654260247,0.99654084781431,29.5345140996828
"HP",9.52172026311494,9.41692903287817,16.0579213377617,27.1999733514485,29.0068737834645,38.4164108992389,6.19250052661122,12.9782512961451,0,28.594898184245,34.4888871517736,34.5420474279781,5.77466991902556,12.1020550051251,24.7083554117085
"CH",36.6367712456711,37.9697469254078,38.7906486486555,53.7541439926378,51.2634413795347,57.825450520549,22.956608818863,15.8565016193383,28.594898184245,0,6.07690704525996,5.99472399390556,31.9404093641724,16.6076991833736,37.8532763147114
"TC",42.2401966054665,43.8157295887031,43.7982871870254,59.0630293681575,55.8717626869479,61.8145219182541,28.7054051989391,21.6054828346184,34.4888871517736,6.07690704525996,0,0.800467730055672,37.9837303705217,22.4178785318934,43.4273298697574
"D",42.4064016452307,43.8935735590812,44.111139238413,59.3151158831302,56.2635280396193,62.3011857285937,28.8163410109969,21.7097379614501,34.5420474279781,5.99472399390556,0.800467730055672,0,37.9343800067349,22.5008053963914,43.0147095996309
"LW",11.6697186665856,8.76390918861418,19.6879827640175,27.8341543508033,31.7499702382938,41.6557426879048,11.3339550722229,17.2074654260247,5.77466991902556,31.9404093641724,37.9837303705217,37.9343800067349,0,16.2350461822617,19.9570542605826
"ARS",20.1292304898798,21.3979695786276,23.4306770844641,37.5678703525391,36.5514211580655,44.484443771753,6.36566045900716,0.99654084781431,12.1020550051251,16.6076991833736,22.4178785318934,22.5008053963914,16.2350461822617,0,28.6624967197504
"WW",31.3719571468179,27.3545907525107,39.6062950238397,45.17471309883,51.1140281179718,61.2431492575714,27.6230267335511,29.5345140996828,24.7083554117085,37.8532763147114,43.4273298697574,43.0147095996309,19.9570542605826,28.6624967197504,0
