"","ARN","AU","B","C","CH","D","HP","LC","LW","MC","SD","TC"
"FAM_4870",3.55376480897629,3.219713108906,3.07268767730014,2.30322136963607,3.31168572983281,2.07072217000882,2.87921099014603,3.7924632739054,1.95341614906832,2.57632369825069,3.4800372396936,2.73068481122543
"FAM_7232",5.94510034636868,5.98118876708983,5.74954008966615,4.83335314038714,5.6908195017318,5.97123829151861,5.54069814390554,6.17680673805383,5.18940734188412,6.78203832787143,5.11120376832622,6.01449910960685
"NED_5522",7.8056523613522,8.55490669507487,7.8194876074516,6.34018570876773,8.35995050093898,7.33181074661683,6.77039114558527,6.88542435159,4.80434782608696,6.3089906454163,8.09273605198618,6.95327022492066
"NED_7132",5.63176193993944,6.34924035840328,6.13045591689043,6.15492993096614,5.77630316545361,5.00398763493946,5.12191380303276,6.161432525279,5.94963752091225,5.98563202152947,6.45129140253401,5.75369574025696
"PET_0247",9.44889292465165,9.80744853900284,9.21829728386222,9.02441522721035,8.53592059037991,8.70310799979962,10.1718984634217,8.7688945036976,7.27263811703171,9.49509325201963,10.0343628885645,9.21058445747486
"PET_5331",7.34797525386329,7.44566922383394,7.90416543214142,6.91683139901649,7.04981851244229,7.31907673467022,7.66682342177238,7.94229790102527,7.42546583850932,7.42079394682941,7.77932427216443,7.45606544740847
