SITENO,EAST,NORTH,Comment,distance,No Data (sea or off map),Broadleaved woodland,Coniferous Woodland,Arable and Horticulture,Improved Grassland,Rough Grassland,Neutral Grassland,Calcareous Grassland,Acid Grassland ,"Fen, Marsh and Swamp",Heather,Heather grassland,Bog,Montane Habitats,Inland Rock,Salt water,Freshwater,Supra-littoral Rock,Supra-littoral Sediment,Littoral Rock,Littoral sediment,Saltmarsh,Urban,Suburban,TOTAL COUNT
180,243900,639600, ,1000,0,649,218,208,978,196,0,0,0,0,0,64,0,0,0,0,35,0,0,0,0,0,241,2435,5024
157,348000,336000, ,1000,0,159,73,548,160,0,122,0,0,191,0,0,3762,0,0,0,0,0,0,0,0,0,0,9,5024
158,388000,117000, ,1000,0,769,99,1854,1644,472,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5024
159,466000,344000, ,1000,0,112,0,2755,1183,110,23,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,16,516,5024
160,292000,570000, ,1000,0,836,2463,179,885,82,42,0,0,0,208,98,0,0,0,0,231,0,0,0,0,0,0,0,5024
161,433200,532700, ,1000,0,25,0,3988,225,119,0,18,0,0,52,18,0,0,529,0,0,0,0,0,0,0,22,28,5024
162,157000,40000, ,1000,1248,26,0,0,77,226,0,0,0,0,0,0,0,0,0,0,0,0,2809,349,45,0,0,244,5024
18,531000,275000, ,1000,0,69,12,4356,537,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,24,0,5024
19,402000,79000, ,1000,0,11,0,524,1736,100,143,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,346,2146,5024
20,600000,134000, ,1000,0,1412,60,1654,1220,15,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,434,5024
21,511800,301600, ,1000,0,2402,76,2372,87,38,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
22,260000,340000, ,1000,0,1146,102,22,2362,835,97,0,44,0,64,131,0,0,31,0,131,0,0,0,0,0,25,34,5024
123,238000,836000, ,1000,0,1155,1034,141,769,53,0,0,0,0,1547,252,0,0,0,0,73,0,0,0,0,0,0,0,5024
124,333300,482200, ,1000,0,1834,452,11,457,200,7,0,0,0,0,0,1218,0,0,0,59,0,154,0,386,246,0,0,5024
125,388000,117000, ,1000,0,769,99,1854,1644,472,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5024
126,627000,145000, ,1000,0,861,13,698,3098,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,5024
127,183000,764000, ,1000,0,812,1694,0,141,885,0,0,39,0,317,604,396,0,120,0,16,0,0,0,0,0,0,0,5024
128,372000,506000, ,1000,0,35,1,0,1534,31,0,0,2648,0,48,590,0,0,137,0,0,0,0,0,0,0,0,0,5024
129,441700,84600, ,1000,0,1988,140,895,1514,336,52,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
130,434000,109000, ,1000,0,1748,1383,22,221,316,314,0,0,0,815,166,0,0,0,0,0,0,0,0,0,0,0,39,5024
131,419000,114000, ,1000,0,136,358,31,160,32,12,0,0,0,1287,2959,0,0,0,0,0,0,0,0,0,0,0,49,5024
132,636000,143000, ,1000,2626,10,0,1461,241,209,0,41,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,35,5024
133,379100,87500, ,1000,0,505,340,1532,1467,398,74,0,0,113,121,237,0,0,0,0,31,0,0,0,0,0,0,206,5024
134,280000,78000, ,1000,0,1526,12,1527,1783,24,0,0,0,0,85,0,0,0,18,0,0,0,0,0,0,0,20,29,5024
135,618000,164000, ,1000,0,2063,180,1891,612,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,41,5024
136,402000,186000, ,1000,0,736,188,973,2606,183,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,5024
137,471000,415000, ,1000,0,414,0,3678,37,46,37,0,0,0,0,34,730,0,5,0,0,0,0,0,0,0,0,43,5024
138,642000,322000, ,1000,0,142,15,1738,154,106,0,0,0,927,0,0,0,0,0,0,1887,0,0,0,0,0,44,11,5024
139,611000,160000, ,1000,0,4510,322,32,80,0,25,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
31,460000,209000, ,1000,0,1649,520,1934,848,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,5024
32,607000,145000, ,1000,0,658,0,2757,1478,0,24,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,39,5024
33,333000,482000, ,1000,0,1809,410,11,517,255,20,0,0,0,0,0,638,0,0,0,35,0,112,5,951,261,0,0,5024
34,525000,250000, ,1000,0,1459,11,3436,90,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,9,5024
23,352800,148800, ,1000,0,1097,0,742,3087,82,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
24,260000,293000, ,1000,3925,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,159,542,0,103,0,0,0,5024
1,521000,281000, ,1000,0,381,0,3650,719,167,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,13,83,5024
2,520000,279000, ,1000,0,1588,105,2813,287,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5024
3,587000,345000, ,1000,0,168,475,895,1979,397,0,0,0,0,0,0,0,0,0,0,0,0,661,0,444,0,5,0,5024
4,520000,280000, ,1000,0,2841,105,1831,1,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5024
5,520000,280000, ,1000,0,2841,105,1831,1,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5024
6,277000,78000, ,1000,0,2360,162,329,445,0,0,0,707,0,996,0,0,0,12,0,0,0,0,0,0,0,13,0,5024
7,347000,189000, ,1000,0,139,54,1250,1607,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1278,5024
181,206500,66500, ,1000,0,516,0,1043,520,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,2647,5024
182,200000,745000, ,1000,0,1525,456,0,302,132,0,0,54,0,0,105,10,0,30,0,1405,0,0,415,371,219,0,0,5024
183,403000,292000, ,1000,0,535,259,1581,1977,198,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,43,116,5024
184,576000,272000, ,1000,0,729,22,1521,871,1252,0,0,0,0,97,45,0,0,297,0,135,0,0,0,0,0,39,16,5024
140,359000,853000, ,1000,0,374,1097,1870,1037,573,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,16,5024
141,207000,917000, ,1000,2508,341,340,0,0,35,0,0,0,0,378,1282,0,0,0,7,40,0,13,61,0,19,0,0,5024
142,512000,213000, ,1000,0,397,0,2560,1719,188,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,153,5024
143,281400,896400, ,1000,780,0,1616,30,263,28,0,0,0,0,11,8,0,0,0,1197,0,0,753,31,307,0,0,0,5024
144,350500,628500, ,1000,0,219,685,858,829,0,0,0,2095,0,66,211,0,0,0,0,61,0,0,0,0,0,0,0,5024
145,242000,364000, ,1000,0,64,1030,0,281,236,0,0,0,0,0,0,0,0,0,0,38,0,3366,0,0,0,0,9,5024
146,374000,767000, ,1000,0,120,1170,2318,1335,24,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,36,5024
147,349000,339000, ,1000,0,155,911,1648,1943,228,58,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,46,5024
148,259000,254000, ,1000,0,416,824,185,3236,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
149,280000,181000, ,1000,0,169,0,436,742,420,0,0,0,0,37,0,0,0,0,0,349,0,2842,0,0,0,0,29,5024
150,169672,496353,Off GB LCM2007,1000,5032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5032
151,241000,249000, ,1000,0,113,11,101,3166,1524,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,12,5024
152,213000,239000, ,1000,0,1696,0,610,2427,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5024
153,201900,638200, ,1000,1757,666,1724,435,90,67,0,0,0,0,0,8,0,0,0,54,37,0,11,94,47,0,12,22,5024
154,642000,322000, ,1000,0,142,15,1738,154,106,0,0,0,927,0,0,0,0,0,0,1887,0,0,0,0,0,44,11,5024
155,462000,210000, ,1000,0,1012,419,1996,1103,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,42,5024
